국제표준연속 간행물번호(전자식),국제표준연속 간행물번호(종이식),학술지명(국문),학술지명(외국어),등재 구분,학술지 연구분야,창간년도,발행간기,사용언어,발행기관명(국문),발행기관명(영문),부설연구소 소속 대학,기관 구분
,12257109,백산학보,The Paek-San Hakpo,등재,인문학 > 역사학,1966,연3회,"한국어,영어",백산학회,Paek-San  Society,,학회
,12266388,어문논집,Journal of The Society of Korean Language and Literature,등재,인문학 > 한국어와문학,1966,연3회,"한국어,한국어",민족어문학회,The Society Of Korean Language And Literature,,학회
20058918,12262102,대한정형외과학회지,Journal of the Korean Orthopaedic Association,등재,의약학 > 정형외과학,1966,연6회,"한국어,영어",대한정형외과학회,The Korean Orthopaedic Association,,학회
27136973,22883479,회계ㆍ세무와 감사 연구,"Study on Accounting, Taxation & Auditing",등재,사회과학 > 회계학,1966,연4회,"한국어,한국어",한국공인회계사회,THE KOREAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS,,일반기관
27136019,12251461,한국교육사학,The Korean journal of history of education ,등재,사회과학 > 교육학,1967,연4회,"한국어,한국어",한국교육사학회,The Korean Society for History of Education,,학회
21738259,12261270,동양사학연구, Journal of Asian Historical Studies,우수등재,인문학 > 역사학,1967,연4회,한국어,동양사학회,The Society For Asian Historical Studies,,학회
,17387620,현대영어영문학,Modern Studies in English Language and Literature,등재,인문학 > 영어와문학,1967,연4회,"한국어,영어",한국현대영어영문학회,The Modern English Society Of Korea,,학회
27338754,12262536,한국행정학보,Korean Public Administration Review,우수등재,사회과학 > 행정학,1967,연4회,"한국어,영어",한국행정학회,The Korean Association For Public Administration,,학회
22881123,22881115,생태와 환경,Korean Journal of Ecology and Environment,등재,공학 > 환경공학,1967,연4회,"한국어,영어",한국하천호수학회,The Korean Society Of Limnology,,학회
20937784,1225388X,대한구강보건학회지,Journal of Korean Academy of Oral Health,등재,의약학 > 치의학,1967,연4회,"한국어,영어",대한예방치과·구강보건학회,The Korean Academy of Preventive Dentistry and Oral Health,,학회
2288890X,12254614,Journal of the Korean Astronomical Society,Journal of the Korean Astronomical Society,등재,자연과학 > 천문학,1967,연6회,"영어,한국어",한국천문학회,Korean Astronomical Society,,학회
22881662,17383544,대한임상검사과학회지,Korean Journal of Clinical Laboratory Science,등재,자연과학 > 기타자연과학,1967,연4회,"한국어,영어",대한임상검사과학회,Korean Society for Clinical Laboratory Science,,학회
,12251577,대한구강악안면병리학회지,The Korean Journal  of Oral and Maxillofacial Pathology,등재,의약학 > 치의학,1967,연6회,"한국어,영어",대한구강악안면병리학회,Korean Academy Of Oral And Maxillofacial Pathology,,학회
18693482,18693474,Nuclear Medicine and Molecular Imaging ,Nuclear Medicine and Molecular Imaging,등재,의약학 > 방사선과학 > 핵의학,1967,연6회,"영어,한국어",대한핵의학회,The Korean Society of Nuclear Medicine,,학회
,19750625,사회과학연구,Journal of Social Science,등재,사회과학 > 사회과학일반 > 기타사회과학일반,1967,연2회,한국어,사회과학연구원,Institute of Social Science,강원대학교,대학부설연구소
,15982963,백제문화,The Journal of Paekche Culture,등재,인문학 > 역사학 > 한국사 > 한국고대사,1967,연2회,"한국어,한문",백제문화연구소,"The Institute of Paekche Culture, Kongju National University",공주대학교,대학부설연구소
23837845,23837837,Journal of Pathology and Translational Medicine,Journal of Pathology and Translational Medicine,등재,의약학 > 병리학,1967,연6회,영어,대한병리학회,,,학회
,1226055X,한국문화인류학,Korean Cultural Anthropology,등재,인문학 > 역사학,1968,연3회,한국어,한국문화인류학회,,,학회
,12293903,비교교육연구,Korean Journal of Comparative Education,등재,사회과학 > 교육학,1968,연6회,"한국어,영어",한국비교교육학회,Korean Comparative Education Society,,학회
